epoch,train_loss,train_eval,test_loss,test_eval
1,1.026065718259243,[0.0; 0.0; 0.0; 0.0; 0.0],0.8732114674752218,[0.4711986482143402; 0.7012289762496948; 0.03624877333641052; 0.4270665645599365; 0.07704466581344604]
2,0.7977513439344781,[0.0; 0.0; 0.0; 0.0; 0.0],0.7042171850539091,[0.6565269827842712; 0.757247805595398; 0.05434921383857727; 0.7012335062026978; 0.07772599160671234]
3,0.6494864721435059,[0.0; 0.0; 0.0; 0.0; 0.0],0.579746497304816,[0.6789603233337402; 0.7549147605895996; 0.047462694346904755; 0.811503529548645; 0.08133666217327118]
4,0.5607223841001919,[0.0; 0.0; 0.0; 0.0; 0.0],0.5026603717552988,[0.6352446675300598; 0.7764577865600586; 0.04159148782491684; 0.8346160054206848; 0.2246069312095642]
5,0.48190463628726815,[0.0; 0.0; 0.0; 0.0; 0.0],0.4444553475630911,[0.6963332891464233; 0.7908188104629517; 0.03699938580393791; 0.8447500467300415; 0.31058943271636963]
6,0.43209592777635353,[0.0; 0.0; 0.0; 0.0; 0.0],0.37444147415328444,[0.5919440984725952; 0.7398334741592407; 0.04199095815420151; 0.8761926889419556; 0.5750308036804199]
7,0.3933852336001449,[0.0; 0.0; 0.0; 0.0; 0.0],0.40800710519154865,[0.6642934083938599; 0.7044574022293091; 0.03639940917491913; 0.8748265504837036; 0.6219698190689087]
8,0.36235075623257534,[0.0; 0.0; 0.0; 0.0; 0.0],0.3789061103996478,[0.621027946472168; 0.6367954015731812; 0.05773129314184189; 0.851752519607544; 0.6547390222549438]
9,0.3497622288747076,[0.0; 0.0; 0.0; 0.0; 0.0],0.34855275509650246,[0.6592463850975037; 0.7067356109619141; 0.06700487434864044; 0.8727321028709412; 0.692900538444519]
10,0.33088648562662915,[0.0; 0.0; 0.0; 0.0; 0.0],0.3329425705106635,[0.6137146949768066; 0.6211572885513306; 0.07885579764842987; 0.8752539157867432; 0.6868018507957458]
11,0.3149764197683229,[0.0; 0.0; 0.0; 0.0; 0.0],0.3294014857526411,[0.6402601003646851; 0.6743976473808289; 0.0989457294344902; 0.8803937435150146; 0.7115187048912048]
12,0.30727414178269324,[0.0; 0.0; 0.0; 0.0; 0.0],0.33140771901398375,[0.5781519412994385; 0.7358620762825012; 0.09924399852752686; 0.8798944354057312; 0.747018039226532]
13,0.29069958748933233,[0.0; 0.0; 0.0; 0.0; 0.0],0.3274777155173452,[0.6650086641311646; 0.6934580206871033; 0.13846391439437866; 0.8630192875862122; 0.6851938962936401]
14,0.28117952596141277,[0.0; 0.0; 0.0; 0.0; 0.0],0.3127047858740154,[0.7044358253479004; 0.6956465244293213; 0.12264491617679596; 0.8506228923797607; 0.7110787630081177]
15,0.2769796886454618,[0.0; 0.0; 0.0; 0.0; 0.0],0.29695608218510944,[0.5643230676651001; 0.7136539816856384; 0.21505042910575867; 0.8850235939025879; 0.7636279463768005]
16,0.2639626669173209,[0.0; 0.0; 0.0; 0.0; 0.0],0.2894283784063239,[0.5903764963150024; 0.6710535287857056; 0.22349095344543457; 0.8923429846763611; 0.7442753314971924]
17,0.2560439986108944,[0.0; 0.0; 0.0; 0.0; 0.0],0.29209087919770627,[0.5805423855781555; 0.6659650206565857; 0.15869233012199402; 0.8843082189559937; 0.7317291498184204]
18,0.2492250445860111,[0.0; 0.0; 0.0; 0.0; 0.0],0.2880637917602271,[0.676166296005249; 0.6219457387924194; 0.2710022032260895; 0.851254940032959; 0.7275353074073792]
19,0.23949322643922127,[0.0; 0.0; 0.0; 0.0; 0.0],0.28699871427134466,[0.619926929473877; 0.6126119494438171; 0.23941856622695923; 0.8919078707695007; 0.7756412029266357]
20,0.22842992664567682,[0.0; 0.0; 0.0; 0.0; 0.0],0.274113582937341,[0.6138924956321716; 0.6953044533729553; 0.26656463742256165; 0.8889297842979431; 0.8007615804672241]
21,0.22453292612208436,[0.0; 0.0; 0.0; 0.0; 0.0],0.2827098055889732,[0.6626812219619751; 0.5465967059135437; 0.2294366955757141; 0.891160249710083; 0.7610291242599487]
22,0.21981569614763027,[0.0; 0.0; 0.0; 0.0; 0.0],0.28507092542815626,[0.6106529235839844; 0.6613028049468994; 0.28716203570365906; 0.8820517659187317; 0.7794858813285828]
23,0.21104287768962893,[0.0; 0.0; 0.0; 0.0; 0.0],0.2747031000622532,[0.6063312292098999; 0.6652982234954834; 0.20952081680297852; 0.8748630881309509; 0.780229926109314]
24,0.20823008624659994,[0.0; 0.0; 0.0; 0.0; 0.0],0.27553113197025497,[0.615452766418457; 0.6903585195541382; 0.31082600355148315; 0.8656423687934875; 0.7863689661026001]
25,0.20346325593147319,[0.0; 0.0; 0.0; 0.0; 0.0],0.2679785829887055,[0.602798581123352; 0.6921367645263672; 0.29024380445480347; 0.8968493938446045; 0.7683814764022827]
26,0.19827348122138852,[0.0; 0.0; 0.0; 0.0; 0.0],0.28231969162037496,[0.5782994031906128; 0.7304134368896484; 0.2821788489818573; 0.870902419090271; 0.7551655769348145]
27,0.1880720431112559,[0.0; 0.0; 0.0; 0.0; 0.0],0.2762259412230107,[0.6346936225891113; 0.6800127029418945; 0.2842082977294922; 0.8803735971450806; 0.768211305141449]
28,0.1883501136473999,[0.0; 0.0; 0.0; 0.0; 0.0],0.27927646668333755,[0.5723541975021362; 0.6963234543800354; 0.22071820497512817; 0.8816714286804199; 0.7653956413269043]
29,0.18256931450982758,[0.0; 0.0; 0.0; 0.0; 0.0],0.2748704573564362,[0.5835363268852234; 0.7048391103744507; 0.33376649022102356; 0.8745765686035156; 0.7764949202537537]
30,0.17681575212915476,[0.0; 0.0; 0.0; 0.0; 0.0],0.2809715856585586,[0.6339593529701233; 0.6224523782730103; 0.3214549124240875; 0.9052589535713196; 0.7375699281692505]
31,0.1800471939327438,[0.0; 0.0; 0.0; 0.0; 0.0],0.275166276254152,[0.6328409314155579; 0.6567263603210449; 0.24480605125427246; 0.898963451385498; 0.7702863216400146]
32,0.17073874922251334,[0.0; 0.0; 0.0; 0.0; 0.0],0.3010727831146173,[0.6707345247268677; 0.5776381492614746; 0.18491175770759583; 0.8746339082717896; 0.7506325244903564]
33,0.164683156751639,[0.0; 0.0; 0.0; 0.0; 0.0],0.28807114822822705,[0.5939956307411194; 0.6972805261611938; 0.32457977533340454; 0.8939555287361145; 0.7714836597442627]
34,0.16232822927549712,[0.0; 0.0; 0.0; 0.0; 0.0],0.29249072493168343,[0.5814704895019531; 0.6452195644378662; 0.3128710687160492; 0.8682498335838318; 0.7449979782104492]
35,0.16223874276968553,[0.0; 0.0; 0.0; 0.0; 0.0],0.29800569383721603,[0.5183606743812561; 0.7437148094177246; 0.3906961679458618; 0.872911810874939; 0.731390118598938]
36,0.15417211576802842,[0.0; 0.0; 0.0; 0.0; 0.0],0.28111095491208526,[0.5386981964111328; 0.7152667045593262; 0.39238351583480835; 0.8857752084732056; 0.7688670754432678]
37,0.15186695297295946,[0.0; 0.0; 0.0; 0.0; 0.0],0.285404386227591,[0.591046154499054; 0.667959451675415; 0.36730414628982544; 0.9024238586425781; 0.7833760380744934]
38,0.14480793364263791,[0.0; 0.0; 0.0; 0.0; 0.0],0.28635438283284503,[0.646960437297821; 0.6575673818588257; 0.3693382143974304; 0.8804118633270264; 0.7710945010185242]
39,0.14172402228214356,[0.0; 0.0; 0.0; 0.0; 0.0],0.2824984710467489,[0.6253708600997925; 0.6366856098175049; 0.2898221015930176; 0.88393235206604; 0.759952962398529]
40,0.13771644425444782,[0.0; 0.0; 0.0; 0.0; 0.0],0.29597653161015425,[0.5974450707435608; 0.678352952003479; 0.2725486159324646; 0.9000924825668335; 0.7581630945205688]
41,0.13623179449282471,[0.0; 0.0; 0.0; 0.0; 0.0],0.2828655567085534,[0.6152738928794861; 0.6691969633102417; 0.37623754143714905; 0.8840492963790894; 0.7935612201690674]
42,0.13248510280455447,[0.0; 0.0; 0.0; 0.0; 0.0],0.2867335311153479,[0.6106284856796265; 0.6745800971984863; 0.35070502758026123; 0.8970986008644104; 0.7970670461654663]
43,0.1301540754587445,[0.0; 0.0; 0.0; 0.0; 0.0],0.29847755034764606,[0.5768414735794067; 0.6669445037841797; 0.283189982175827; 0.8813465237617493; 0.7688595652580261]
44,0.1256455381875796,[0.0; 0.0; 0.0; 0.0; 0.0],0.28111695040736284,[0.607090950012207; 0.6572077870368958; 0.37766364216804504; 0.8972882032394409; 0.7931944131851196]
45,0.12189831431733061,[0.0; 0.0; 0.0; 0.0; 0.0],0.2961206959004988,[0.5747711658477783; 0.6667675971984863; 0.32508257031440735; 0.8977715969085693; 0.7694987654685974]
46,0.12271687987098104,[0.0; 0.0; 0.0; 0.0; 0.0],0.3032442399284296,[0.6140013337135315; 0.644184410572052; 0.36076825857162476; 0.8918637037277222; 0.778111457824707]
47,0.11743367229800088,[0.0; 0.0; 0.0; 0.0; 0.0],0.3080952010656658,[0.5459132194519043; 0.7040363550186157; 0.39113274216651917; 0.8886808156967163; 0.7750959396362305]
48,0.11695269065976932,[0.0; 0.0; 0.0; 0.0; 0.0],0.2912576313604388,[0.6164775490760803; 0.6628681421279907; 0.3466408848762512; 0.8878783583641052; 0.7689175009727478]
49,0.11196171003856406,[0.0; 0.0; 0.0; 0.0; 0.0],0.301977182689466,[0.5435060262680054; 0.7204020023345947; 0.386897474527359; 0.9011484980583191; 0.7889389395713806]
50,0.10958968647334223,[0.0; 0.0; 0.0; 0.0; 0.0],0.3106242198693125,[0.5644918084144592; 0.696140468120575; 0.3824906349182129; 0.8811138868331909; 0.752694845199585]
51,0.10660673309504065,[0.0; 0.0; 0.0; 0.0; 0.0],0.2983631193637848,[0.6168753504753113; 0.644173264503479; 0.41458743810653687; 0.8916696310043335; 0.7932494878768921]
52,0.10488028059534679,[0.0; 0.0; 0.0; 0.0; 0.0],0.32979766946089895,[0.6534764766693115; 0.6166720986366272; 0.3752862811088562; 0.8984531164169312; 0.7689406871795654]
53,0.10206968827423933,[0.0; 0.0; 0.0; 0.0; 0.0],0.30341592065074985,[0.6056058406829834; 0.6737278699874878; 0.3772326409816742; 0.8948249816894531; 0.7791685461997986]
54,0.10147611581397635,[0.0; 0.0; 0.0; 0.0; 0.0],0.31152100939499705,[0.6202008128166199; 0.6737759113311768; 0.3962617516517639; 0.8980270624160767; 0.7538841962814331]
55,0.10022875461028374,[0.0; 0.0; 0.0; 0.0; 0.0],0.3297478865113175,[0.5949563980102539; 0.7112827301025391; 0.34880849719047546; 0.8976622819900513; 0.7597771286964417]
56,0.09491595532128352,[0.0; 0.0; 0.0; 0.0; 0.0],0.3245673461964256,[0.6073915958404541; 0.6465818881988525; 0.3932678997516632; 0.9043263792991638; 0.7644782066345215]
57,0.09264268306706915,[0.0; 0.0; 0.0; 0.0; 0.0],0.33495179812113446,[0.6084957122802734; 0.6652958393096924; 0.40824633836746216; 0.8994959592819214; 0.7761770486831665]
58,0.09108227562101735,[0.0; 0.0; 0.0; 0.0; 0.0],0.3507478048926906,[0.6082537174224854; 0.6685595512390137; 0.3767058849334717; 0.8990261554718018; 0.7480216026306152]
59,0.08903081631226255,[0.0; 0.0; 0.0; 0.0; 0.0],0.3272018045709844,[0.6626265048980713; 0.6010760068893433; 0.4076530635356903; 0.8974672555923462; 0.7764793038368225]
60,0.08721525745083954,[0.0; 0.0; 0.0; 0.0; 0.0],0.33898629065145525,[0.6332378387451172; 0.6426701545715332; 0.41447997093200684; 0.8950740098953247; 0.7665259838104248]
61,0.08477782969574792,[0.0; 0.0; 0.0; 0.0; 0.0],0.3318300299477159,[0.6249785423278809; 0.6465468406677246; 0.3759579062461853; 0.8997365236282349; 0.7575989961624146]
62,0.08458530249908797,[0.0; 0.0; 0.0; 0.0; 0.0],0.31507414788530586,[0.6550102233886719; 0.632840633392334; 0.3436581492424011; 0.9039949178695679; 0.7899542450904846]
63,0.08516736034196996,[0.0; 0.0; 0.0; 0.0; 0.0],0.3268023185562669,[0.6290565729141235; 0.6700165867805481; 0.4066287875175476; 0.8891705274581909; 0.7725168466567993]
64,0.08391928171150995,[0.0; 0.0; 0.0; 0.0; 0.0],0.349563831822914,[0.6153630018234253; 0.6817447543144226; 0.4138331413269043; 0.897307276725769; 0.7531003952026367]
65,0.08045176683080117,[0.0; 0.0; 0.0; 0.0; 0.0],0.33571338758134006,[0.6659454107284546; 0.6250131130218506; 0.41474878787994385; 0.9045303463935852; 0.7699602842330933]
66,0.07956971303779821,[0.0; 0.0; 0.0; 0.0; 0.0],0.3305909319927818,[0.6494827270507812; 0.632790744304657; 0.4227730631828308; 0.892874538898468; 0.7745572924613953]
67,0.0778250236384916,[0.0; 0.0; 0.0; 0.0; 0.0],0.35699558048917535,[0.6582658290863037; 0.6357640027999878; 0.38961511850357056; 0.9019703269004822; 0.7690808773040771]
68,0.07494027748144752,[0.0; 0.0; 0.0; 0.0; 0.0],0.36100074492002787,[0.6494758129119873; 0.6594659686088562; 0.40490710735321045; 0.8916208744049072; 0.7582184076309204]
69,0.07288958890482816,[0.0; 0.0; 0.0; 0.0; 0.0],0.35503415423527096,[0.6633954048156738; 0.6365505456924438; 0.39825963973999023; 0.8963277339935303; 0.7749854326248169]
70,0.072470642248,[0.0; 0.0; 0.0; 0.0; 0.0],0.3442629763954564,[0.5973899364471436; 0.6670407056808472; 0.40709155797958374; 0.8905512094497681; 0.7760385274887085]
71,0.07206128012989267,[0.0; 0.0; 0.0; 0.0; 0.0],0.34962894257746246,[0.6259527206420898; 0.6445942521095276; 0.4143112897872925; 0.9027246832847595; 0.7721829414367676]
72,0.07134944521236104,[0.0; 0.0; 0.0; 0.0; 0.0],0.3595962691725346,[0.6382009983062744; 0.6551315784454346; 0.3995841443538666; 0.8926936388015747; 0.7549749612808228]
73,0.06949656933677643,[0.0; 0.0; 0.0; 0.0; 0.0],0.36450627393889845,[0.6478475332260132; 0.6452890634536743; 0.4217188060283661; 0.8958488702774048; 0.7667464017868042]
74,0.06764274985256048,[0.0; 0.0; 0.0; 0.0; 0.0],0.3467098317648235,[0.6005986928939819; 0.6817423105239868; 0.41175907850265503; 0.8971798419952393; 0.7596502900123596]
75,0.06784735457194561,[0.0; 0.0; 0.0; 0.0; 0.0],0.3569857985304113,[0.6440356373786926; 0.6481766700744629; 0.42715829610824585; 0.891613245010376; 0.7784094214439392]
76,0.06681002423200123,[0.0; 0.0; 0.0; 0.0; 0.0],0.3729599808391772,[0.621827244758606; 0.6662619113922119; 0.4298999011516571; 0.8910155892372131; 0.75884610414505]
77,0.06574116578165269,[0.0; 0.0; 0.0; 0.0; 0.0],0.3734830633590096,[0.6220899820327759; 0.668498158454895; 0.4081888198852539; 0.8972611427307129; 0.7538770437240601]
78,0.06394083381817567,[0.0; 0.0; 0.0; 0.0; 0.0],0.3656796478388602,[0.6355513334274292; 0.6440661549568176; 0.41213926672935486; 0.8872132301330566; 0.7623512744903564]
79,0.06445804978443297,[0.0; 0.0; 0.0; 0.0; 0.0],0.3734720030374694,[0.6451656818389893; 0.6389720439910889; 0.4254570007324219; 0.8921285271644592; 0.7551349401473999]
80,0.06305204149310951,[0.0; 0.0; 0.0; 0.0; 0.0],0.3732944559632686,[0.6252678632736206; 0.6650390625; 0.4284038245677948; 0.8943297863006592; 0.7542253732681274]
81,0.06291172707712414,[0.0; 0.0; 0.0; 0.0; 0.0],0.3701136044242926,[0.6334672570228577; 0.6530560255050659; 0.4391630291938782; 0.8893813490867615; 0.7610276937484741]
82,0.06148679551172993,[0.0; 0.0; 0.0; 0.0; 0.0],0.36800679512191237,[0.6523452997207642; 0.6366751194000244; 0.4466356635093689; 0.8994684815406799; 0.7661706209182739]
83,0.06106780537673443,[0.0; 0.0; 0.0; 0.0; 0.0],0.38019919604585883,[0.6398186683654785; 0.6489824056625366; 0.41872113943099976; 0.8922910690307617; 0.7629468441009521]
84,0.06022346699836501,[0.0; 0.0; 0.0; 0.0; 0.0],0.3746086212626675,[0.6387999057769775; 0.6451756358146667; 0.41929683089256287; 0.8952592611312866; 0.7584946155548096]
85,0.059662826721110354,[0.0; 0.0; 0.0; 0.0; 0.0],0.3744847235972421,[0.6394100785255432; 0.6447415351867676; 0.41500353813171387; 0.8971315026283264; 0.7705912590026855]
86,0.058699228576740155,[0.0; 0.0; 0.0; 0.0; 0.0],0.38858021665037723,[0.6553987264633179; 0.6403281688690186; 0.43733781576156616; 0.8896431922912598; 0.7683542966842651]
87,0.05778706614873794,[0.0; 0.0; 0.0; 0.0; 0.0],0.3823229477070926,[0.6387585401535034; 0.6511945724487305; 0.42751479148864746; 0.8977813720703125; 0.7687856554985046]
88,0.057283274155052556,[0.0; 0.0; 0.0; 0.0; 0.0],0.37975136961853295,[0.6274266242980957; 0.6597820520401001; 0.4202512502670288; 0.9022276401519775; 0.7685486078262329]
89,0.056809986960019494,[0.0; 0.0; 0.0; 0.0; 0.0],0.37985199376156453,[0.6246784329414368; 0.671138346195221; 0.4316137433052063; 0.8889214992523193; 0.7757135033607483]
90,0.056111968765919305,[0.0; 0.0; 0.0; 0.0; 0.0],0.38573596404309857,[0.624711811542511; 0.6648643016815186; 0.428331583738327; 0.8947902321815491; 0.7687517404556274]
91,0.055903114814303045,[0.0; 0.0; 0.0; 0.0; 0.0],0.3797984076173682,[0.6192920207977295; 0.6648470163345337; 0.43075263500213623; 0.8937234282493591; 0.7746480703353882]
92,0.05517134843414719,[0.0; 0.0; 0.0; 0.0; 0.0],0.3804658348100227,[0.637624979019165; 0.6494262218475342; 0.42302197217941284; 0.8942162394523621; 0.7655360698699951]
93,0.05505919450725414,[0.0; 0.0; 0.0; 0.0; 0.0],0.39038466047822384,[0.6447759866714478; 0.6384944915771484; 0.43135371804237366; 0.8948056697845459; 0.7672057151794434]
94,0.05493843603147313,[0.0; 0.0; 0.0; 0.0; 0.0],0.3836336873079601,[0.6290879249572754; 0.6667793989181519; 0.4393128752708435; 0.8885472416877747; 0.7671310901641846]
95,0.05442660739419213,[0.0; 0.0; 0.0; 0.0; 0.0],0.3834616269981652,[0.6338478326797485; 0.6581832766532898; 0.437716543674469; 0.897698163986206; 0.769877552986145]
96,0.05386359140967691,[0.0; 0.0; 0.0; 0.0; 0.0],0.39140239044239644,[0.6449863910675049; 0.651113748550415; 0.44011229276657104; 0.8898739218711853; 0.7696044445037842]
97,0.05355480458858787,[0.0; 0.0; 0.0; 0.0; 0.0],0.3898390181231917,[0.6385136246681213; 0.6633909940719604; 0.42921680212020874; 0.8908956050872803; 0.7646622657775879]
98,0.053395073753976924,[0.0; 0.0; 0.0; 0.0; 0.0],0.3943550565786529,[0.6386116147041321; 0.6613514423370361; 0.4352771043777466; 0.8907105922698975; 0.7597578763961792]
99,0.0528058305251151,[0.0; 0.0; 0.0; 0.0; 0.0],0.39128284391603974,[0.6397185921669006; 0.6590834856033325; 0.4281347990036011; 0.8873378038406372; 0.7648081183433533]
100,0.05239195896366048,[0.0; 0.0; 0.0; 0.0; 0.0],0.3945668789378384,[0.6517353653907776; 0.6469523906707764; 0.43005067110061646; 0.8901320099830627; 0.7654569745063782]
